"Date","Time (GMT)","Wind Speed (kn)","Wind Dir (deg)","Wind Gust (kn)","Air Temp (°F)","Baro (mb)","Humidity (%)","Visibility (nm)"
"2022/09/20","13:36","9.91","4","13.22","81","1017.4","-","-"
"2022/09/20","13:42","9.72","5","12.05","81","1017.4","-","-"
"2022/09/20","13:48","10.69","7","12.83","81","1017.4","-","-"
"2022/09/20","13:54","10.3","4","13.41","81.3","1017.4","-","-"
"2022/09/20","14:00","10.11","7","13.02","81.5","1017.4","-","-"
"2022/09/20","14:06","10.3","7","12.83","81.3","1017.4","-","-"
"2022/09/20","14:12","8.75","9","12.63","81.7","1017.5","-","-"
"2022/09/20","14:18","10.3","11","12.83","81.7","1017.6","-","-"
"2022/09/20","14:24","9.33","4","11.47","81.9","1017.6","-","-"
"2022/09/20","14:30","8.75","11","11.47","82","1017.6","-","-"
"2022/09/20","14:36","9.33","15","12.44","81.9","1017.7","-","-"
"2022/09/20","14:42","8.16","19","11.47","82.8","1017.7","-","-"
"2022/09/20","14:48","7.58","22","10.69","82.6","1017.7","-","-"
"2022/09/20","14:54","8.55","26","11.47","82.9","1017.6","-","-"
"2022/09/20","15:00","7","21","11.08","82.9","1017.7","-","-"
"2022/09/20","15:06","7.58","18","11.27","83.1","1017.7","-","-"
"2022/09/20","15:12","6.8","28","10.69","83.5","1017.7","-","-"
"2022/09/20","15:18","7.39","27","11.47","83.5","1017.7","-","-"
"2022/09/20","15:24","7.39","31","11.08","83.7","1017.7","-","-"
"2022/09/20","15:30","7.58","31","9.91","83.7","1017.7","-","-"
"2022/09/20","15:36","7","38","11.08","83.8","1017.7","-","-"
"2022/09/20","15:42","7.19","30","9.33","84.2","1017.7","-","-"
"2022/09/20","15:48","7","27","10.89","84.4","1017.7","-","-"
"2022/09/20","15:54","7.19","28","10.5","84.4","1017.7","-","-"
"2022/09/20","16:00","6.8","30","10.5","84.4","1017.7","-","-"
"2022/09/20","16:06","6.61","35","8.94","84.6","1017.7","-","-"
"2022/09/20","16:12","6.41","31","10.89","84.7","1017.7","-","-"
"2022/09/20","16:18","6.8","29","10.11","84.6","1017.6","-","-"
"2022/09/20","16:24","8.16","25","10.3","84.9","1017.6","-","-"
"2022/09/20","16:30","6.61","29","10.5","85.5","1017.6","-","-"
